"","schedule_date","schedule_season","home_team_id","away_team_id","home_score","away_score","team_favorite_id","spread_favorite","home_team_elo","away_team_elo","home_team_win_prob"
"1",2002-09-05,2002,"NYG","SF",13,16,"SF",-4,1485.669,1561.242,0.484788925142999
"2",2002-09-08,2002,"BUF","NYJ",31,37,"NYJ",-3,1413.251,1535.438,0.418436545267152
"3",2002-09-08,2002,"CAR","BAL",10,7,"PICK",0,1370.952,1572.94,0.312476591869497
"4",2002-09-08,2002,"CHI","MIN",27,23,"CHI",-4.5,1565.787,1452.964,0.735679362427755
"5",2002-09-08,2002,"CIN","LAC",6,34,"CIN",-3,1417.743,1407.844,0.606149032694316
"6",2002-09-08,2002,"CLE","KC",39,40,"CLE",-2,1446.242,1475.1,0.551825714785105
"7",2002-09-08,2002,"DEN","LAR",23,16,"LAR",-3,1500.059,1653.843,0.374939963608274
"8",2002-09-08,2002,"GB","ATL",37,34,"GB",-7,1594.187,1424.722,0.794078784507282
"9",2002-09-08,2002,"HOU","DAL",19,10,"DAL",-8.5,1300,1425.973,0.413142659682468
"10",2002-09-08,2002,"JAX","IND",25,28,"IND",-3.5,1484.758,1492.006,0.582354707578487
"11",2002-09-08,2002,"MIA","DET",49,21,"MIA",-9.5,1535.889,1402.016,0.758560752524052
"12",2002-09-08,2002,"OAK","SEA",31,17,"OAK",-7.5,1568.113,1494.824,0.689130077274993
"13",2002-09-08,2002,"TB","NO",20,26,"TB",-6,1547.2,1450.99,0.716669222208606
"14",2002-09-08,2002,"TEN","PHI",27,24,"TEN",-2,1516.957,1613.455,0.454794513907704
"16",2002-09-09,2002,"NE","PIT",30,14,"PIT",-2.5,1609.259,1603.837,0.599979962338055
"17",2002-09-15,2002,"ATL","CHI",13,14,"ATL",-2.5,1419.562,1573.659,0.374517795390767
"18",2002-09-15,2002,"BAL","TB",0,25,"TB",-4.5,1552.612,1517.103,0.640739750174273
"19",2002-09-15,2002,"CAR","DET",31,7,"CAR",-3,1391.28,1387.104,0.59825729302043
"20",2002-09-15,2002,"CLE","CIN",20,7,"CLE",-3.5,1438.464,1375.483,0.676277725388674
"21",2002-09-15,2002,"DAL","TEN",21,13,"TEN",-3.5,1398.177,1532.293,0.40182572219235
