"","schedule_season","group8_total_points","vegas_total_points","five38_total_points"
"1",2002,688.140185438109,653.0375,633.125204767388
"2",2003,836.019235662307,881.6925,713.3039100367
"3",2004,837.109049282424,899.4975,655.703773339229
"4",2005,1135.29464154789,1225.6525,963.522506784648
"5",2006,575.643598050312,584.005,481.645592420258
"6",2007,1155.77967569953,1257.025,938.108094019796
"7",2008,1049.89809624329,1121.8775,899.494979533702
"8",2009,1172.93618500657,1196.2,1048.19105134828
"9",2010,697.833573668208,762.6825,539.061093347756
"10",2011,1083.65885534613,1091.18,957.363781583517
"11",2012,1040.27672182669,1143.6725,850.061506776484
"12",2013,990.963740504299,1038.9675,829.969827589379
"13",2014,1113.57741097317,1084.0075,1046.8846058715
"14",2015,602.256152909859,483.63,600.332810087311
"15",2016,975.421653364206,968.1725,853.535387954427
"16",2017,1023.87073859871,1109.425,794.322694994152
